,country,year,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,living_condition,head_of_household
52,Kenya,2018,No,Urban,No,5,16,Female,Other relative,Single,Primary education,Remittance Dependent,Never Married,No
53,Kenya,2018,No,Rural,Yes,2,17,Male,Other relative,Single,Secondary education,Remittance Dependent,Never Married,No
54,Kenya,2018,Yes,Urban,Yes,1,22,Female,Head of Household,Single,Secondary education,Self employed,Never Married,Yes
55,Kenya,2018,No,Rural,Yes,3,66,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
56,Kenya,2018,Yes,Rural,Yes,6,50,Male,Head of Household,Married,Vocational/Specialised training,Formally employed Government,Living together,Yes
57,Kenya,2018,No,Urban,Yes,4,33,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
58,Kenya,2018,No,Rural,Yes,11,21,Male,Child,Single,Other/Dont know/RTA,Informally employed,Never Married,No
59,Kenya,2018,No,Rural,Yes,5,30,Female,Spouse,Married,Secondary education,Informally employed,Living together,No
60,Kenya,2018,No,Rural,Yes,8,30,Female,Head of Household,Divorced,Primary education,Self employed,Seperated,Yes
61,Kenya,2018,No,Rural,No,1,67,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
62,Kenya,2018,No,Rural,Yes,3,50,Female,Spouse,Married,Secondary education,Farming and Fishing,Living together,No
63,Kenya,2018,Yes,Urban,Yes,1,25,Female,Head of Household,Single,Tertiary education,Remittance Dependent,Never Married,Yes
64,Kenya,2018,No,Rural,Yes,6,25,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
65,Kenya,2018,No,Urban,No,3,30,Female,Spouse,Married,Primary education,Informally employed,Living together,No
66,Kenya,2018,No,Rural,No,1,37,Male,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
67,Kenya,2018,Yes,Urban,Yes,1,30,Female,Head of Household,Married,Primary education,Self employed,Living together,Yes
68,Kenya,2018,No,Urban,No,5,28,Female,Child,Single,Primary education,Informally employed,Never Married,No
69,Kenya,2018,Yes,Urban,Yes,1,30,Male,Head of Household,Single,Secondary education,Formally employed Private,Never Married,Yes
70,Kenya,2018,No,Rural,Yes,2,59,Female,Head of Household,Single,Vocational/Specialised training,Informally employed,Never Married,Yes
71,Kenya,2018,No,Urban,Yes,5,29,Male,Head of Household,Married,Secondary education,Informally employed,Living together,Yes
72,Kenya,2018,No,Rural,No,4,31,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
73,Kenya,2018,No,Urban,Yes,3,27,Female,Spouse,Married,Secondary education,Remittance Dependent,Living together,No
74,Kenya,2018,Yes,Rural,Yes,4,55,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
75,Kenya,2018,No,Urban,Yes,4,34,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
76,Kenya,2018,No,Urban,No,4,17,Male,Other relative,Single,Secondary education,Remittance Dependent,Never Married,No
77,Kenya,2018,No,Urban,No,3,21,Female,Spouse,Married,Vocational/Specialised training,Informally employed,Living together,No
78,Kenya,2018,No,Urban,Yes,5,37,Female,Head of Household,Divorced,Secondary education,Informally employed,Seperated,Yes
79,Kenya,2018,No,Rural,No,4,42,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
80,Kenya,2018,No,Rural,No,8,40,Female,Spouse,Married,Primary education,Remittance Dependent,Living together,No
81,Kenya,2018,No,Rural,No,4,17,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
82,Kenya,2018,No,Urban,No,4,65,Female,Spouse,Married,No formal education,Informally employed,Living together,No
83,Kenya,2018,No,Rural,Yes,7,18,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
84,Kenya,2018,No,Urban,Yes,3,34,Female,Head of Household,Single,Vocational/Specialised training,Informally employed,Never Married,Yes
85,Kenya,2018,No,Rural,Yes,4,46,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
86,Kenya,2018,Yes,Urban,Yes,1,54,Male,Head of Household,Single,Primary education,Informally employed,Never Married,Yes
87,Kenya,2018,No,Urban,Yes,4,27,Female,Head of Household,Married,Primary education,Informally employed,Living together,Yes
88,Kenya,2018,No,Rural,Yes,4,21,Female,Child,Single,Primary education,Informally employed,Never Married,No
89,Kenya,2018,No,Rural,No,4,64,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
90,Kenya,2018,No,Rural,Yes,3,56,Female,Spouse,Married,Primary education,Remittance Dependent,Living together,No
91,Kenya,2018,No,Rural,No,6,40,Male,Head of Household,Divorced,Primary education,Farming and Fishing,Seperated,Yes
92,Kenya,2018,Yes,Urban,Yes,10,21,Female,Parent,Single,Tertiary education,Remittance Dependent,Never Married,No
93,Kenya,2018,No,Rural,Yes,9,18,Male,Other relative,Single,Secondary education,Remittance Dependent,Never Married,No
94,Kenya,2018,Yes,Rural,Yes,1,42,Male,Head of Household,Divorced,Secondary education,Farming and Fishing,Seperated,Yes
95,Kenya,2018,No,Rural,No,2,22,Male,Child,Single,Primary education,Remittance Dependent,Never Married,No
96,Kenya,2018,No,Rural,Yes,8,52,Female,Spouse,Married,Primary education,Informally employed,Living together,No
97,Kenya,2018,No,Urban,Yes,6,35,Female,Spouse,Married,Primary education,Informally employed,Living together,No
98,Kenya,2018,No,Rural,Yes,2,64,Female,Head of Household,Widowed,Primary education,Remittance Dependent,Widowed,Yes
99,Kenya,2018,Yes,Urban,Yes,5,42,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
100,Kenya,2018,No,Urban,Yes,10,23,Female,Other relative,Divorced,Primary education,Formally employed Private,Seperated,No
101,Kenya,2018,No,Rural,Yes,1,42,Male,Head of Household,Married,Vocational/Specialised training,Informally employed,Living together,Yes
102,Kenya,2018,No,Urban,Yes,2,27,Male,Head of Household,Married,Secondary education,Formally employed Government,Living together,Yes
103,Kenya,2018,No,Rural,Yes,2,43,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
104,Kenya,2018,Yes,Urban,No,4,16,Female,Other relative,Single,Secondary education,Remittance Dependent,Never Married,No
105,Kenya,2018,Yes,Urban,Yes,4,26,Male,Other relative,Single,Secondary education,Informally employed,Never Married,No
106,Kenya,2018,No,Rural,No,4,19,Female,Spouse,Married,Primary education,Informally employed,Living together,No
107,Kenya,2018,Yes,Rural,Yes,6,49,Male,Head of Household,Married,Tertiary education,Formally employed Government,Living together,Yes
108,Kenya,2018,No,Urban,Yes,9,44,Female,Head of Household,Married,No formal education,Self employed,Living together,Yes
109,Kenya,2018,No,Urban,Yes,1,30,Female,Head of Household,Single,Primary education,Self employed,Never Married,Yes
110,Kenya,2018,No,Rural,No,3,16,Female,Child,Single,Primary education,Remittance Dependent,Never Married,No
111,Kenya,2018,No,Urban,Yes,7,50,Female,Spouse,Married,Vocational/Specialised training,Farming and Fishing,Living together,No
112,Kenya,2018,No,Rural,Yes,2,30,Male,Head of Household,Married,Primary education,Formally employed Private,Living together,Yes
113,Kenya,2018,No,Urban,Yes,5,49,Female,Spouse,Married,Primary education,Self employed,Living together,No
114,Kenya,2018,No,Rural,No,8,72,Female,Parent,Widowed,No formal education,Remittance Dependent,Widowed,No
115,Kenya,2018,No,Rural,Yes,4,18,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
116,Kenya,2018,No,Rural,Yes,2,21,Female,Head of Household,Married,Primary education,Remittance Dependent,Living together,Yes
117,Kenya,2018,No,Rural,Yes,9,52,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
118,Kenya,2018,Yes,Rural,Yes,4,55,Male,Child,Married,Secondary education,Farming and Fishing,Living together,No
119,Kenya,2018,No,Rural,Yes,5,35,Female,Head of Household,Married,Primary education,Remittance Dependent,Living together,Yes
120,Kenya,2018,No,Rural,Yes,6,38,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
121,Kenya,2018,No,Rural,Yes,6,19,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
122,Kenya,2018,Yes,Urban,Yes,7,53,Female,Head of Household,Married,Tertiary education,Self employed,Living together,Yes
123,Kenya,2018,No,Urban,No,2,17,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
124,Kenya,2018,No,Urban,Yes,5,29,Female,Head of Household,Married,Primary education,Informally employed,Living together,Yes
125,Kenya,2018,Yes,Rural,Yes,1,24,Female,Head of Household,Single,Tertiary education,Formally employed Private,Never Married,Yes
126,Kenya,2018,No,Urban,Yes,7,63,Male,Spouse,Married,Vocational/Specialised training,Farming and Fishing,Living together,No
127,Kenya,2018,No,Urban,Yes,2,47,Female,Head of Household,Married,Secondary education,Remittance Dependent,Living together,Yes
128,Kenya,2018,Yes,Urban,Yes,4,42,Female,Head of Household,Married,Tertiary education,Formally employed Government,Living together,Yes
129,Kenya,2018,No,Rural,No,3,17,Male,Child,Single,Secondary education,Informally employed,Never Married,No
130,Kenya,2018,Yes,Rural,Yes,4,28,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
131,Kenya,2018,No,Urban,Yes,7,62,Male,Head of Household,Widowed,Primary education,Informally employed,Widowed,Yes
132,Kenya,2018,No,Rural,Yes,2,52,Female,Head of Household,Widowed,Primary education,Informally employed,Widowed,Yes
133,Kenya,2018,No,Rural,Yes,3,44,Female,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
134,Kenya,2018,No,Urban,Yes,6,28,Female,Head of Household,Married,No formal education,Self employed,Living together,Yes
135,Kenya,2018,Yes,Urban,Yes,4,30,Female,Spouse,Married,Secondary education,Self employed,Living together,No
136,Kenya,2018,Yes,Urban,Yes,4,39,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
137,Kenya,2018,No,Urban,Yes,4,81,Male,Head of Household,Married,No formal education,Remittance Dependent,Living together,Yes
138,Kenya,2018,Yes,Rural,Yes,1,62,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
139,Kenya,2018,No,Urban,Yes,3,78,Male,Head of Household,Married,Primary education,Self employed,Living together,Yes
140,Kenya,2018,No,Urban,Yes,2,28,Female,Head of Household,Single,Primary education,Self employed,Never Married,Yes
141,Kenya,2018,No,Urban,Yes,4,28,Male,Head of Household,Married,Primary education,Formally employed Government,Living together,Yes
142,Kenya,2018,No,Rural,Yes,5,39,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
143,Kenya,2018,No,Rural,Yes,8,42,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
144,Kenya,2018,No,Rural,No,6,17,Male,Child,Single,Primary education,Remittance Dependent,Never Married,No
145,Kenya,2018,No,Rural,Yes,6,50,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
146,Kenya,2018,No,Rural,Yes,4,25,Female,Spouse,Married,Primary education,Self employed,Living together,No
147,Kenya,2018,Yes,Urban,Yes,6,34,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
148,Kenya,2018,No,Rural,Yes,5,33,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
149,Kenya,2018,Yes,Urban,Yes,3,26,Female,Spouse,Married,Secondary education,Self employed,Living together,No
150,Kenya,2018,No,Rural,No,8,36,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
151,Kenya,2018,No,Rural,Yes,4,78,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
152,Kenya,2018,Yes,Rural,Yes,5,36,Female,Spouse,Married,Vocational/Specialised training,Formally employed Government,Living together,No
153,Kenya,2018,No,Urban,No,7,17,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
154,Kenya,2018,No,Urban,Yes,1,20,Male,Head of Household,Single,Tertiary education,Remittance Dependent,Never Married,Yes
155,Kenya,2018,No,Rural,Yes,1,30,Male,Head of Household,Divorced,Secondary education,Farming and Fishing,Seperated,Yes
156,Kenya,2018,No,Rural,Yes,1,38,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
157,Kenya,2018,No,Rural,Yes,8,28,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
158,Kenya,2018,No,Rural,No,4,50,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
159,Kenya,2018,Yes,Urban,Yes,7,40,Male,Head of Household,Married,Primary education,Formally employed Private,Living together,Yes
160,Kenya,2018,No,Urban,Yes,1,62,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
161,Kenya,2018,No,Rural,Yes,4,40,Female,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
162,Kenya,2018,No,Rural,Yes,7,44,Male,Head of Household,Married,Primary education,Self employed,Living together,Yes
163,Kenya,2018,No,Rural,Yes,4,25,Female,Spouse,Married,Primary education,Self employed,Living together,No
164,Kenya,2018,No,Rural,Yes,5,59,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
165,Kenya,2018,Yes,Urban,Yes,6,36,Female,Spouse,Married,Secondary education,Self employed,Living together,No
166,Kenya,2018,No,Rural,Yes,7,60,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
167,Kenya,2018,Yes,Rural,Yes,3,42,Male,Head of Household,Married,No formal education,Formally employed Private,Living together,Yes
168,Kenya,2018,No,Rural,Yes,2,56,Female,Head of Household,Married,No formal education,Self employed,Living together,Yes
169,Kenya,2018,No,Urban,No,4,37,Female,Spouse,Married,Primary education,Remittance Dependent,Living together,No
170,Kenya,2018,No,Rural,Yes,4,28,Female,Spouse,Married,Secondary education,Remittance Dependent,Living together,No
171,Kenya,2018,No,Rural,No,9,50,Female,Child,Single,Primary education,Farming and Fishing,Never Married,No
172,Kenya,2018,No,Urban,Yes,2,55,Male,Head of Household,Married,Secondary education,Formally employed Private,Living together,Yes
173,Kenya,2018,No,Rural,Yes,7,65,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
174,Kenya,2018,No,Rural,Yes,5,48,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
175,Kenya,2018,No,Urban,Yes,2,65,Female,Head of Household,Widowed,Primary education,Remittance Dependent,Widowed,Yes
176,Kenya,2018,No,Rural,Yes,7,55,Female,Head of Household,Widowed,Primary education,Informally employed,Widowed,Yes
177,Kenya,2018,No,Rural,Yes,5,31,Female,Spouse,Married,Secondary education,Farming and Fishing,Living together,No
178,Kenya,2018,No,Rural,No,2,55,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Widowed,Yes
179,Kenya,2018,No,Urban,Yes,6,44,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
180,Kenya,2018,No,Rural,Yes,3,72,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
181,Kenya,2018,No,Urban,No,3,18,Female,Child,Single,Secondary education,Informally employed,Never Married,No
182,Kenya,2018,No,Rural,Yes,4,26,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
183,Kenya,2018,No,Rural,Yes,1,53,Male,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
184,Kenya,2018,No,Rural,Yes,3,28,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
185,Kenya,2018,No,Urban,Yes,8,34,Female,Head of Household,Married,Tertiary education,Informally employed,Living together,Yes
186,Kenya,2018,No,Rural,Yes,4,55,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
187,Kenya,2018,No,Urban,Yes,2,48,Male,Head of Household,Married,Vocational/Specialised training,Informally employed,Living together,Yes
188,Kenya,2018,No,Rural,Yes,2,50,Female,Spouse,Married,Primary education,Informally employed,Living together,No
189,Kenya,2018,Yes,Rural,Yes,7,65,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,Widowed,Yes
190,Kenya,2018,Yes,Urban,Yes,3,53,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,Widowed,Yes
191,Kenya,2018,No,Rural,Yes,5,45,Female,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
192,Kenya,2018,No,Urban,Yes,2,29,Female,Head of Household,Single,Primary education,Informally employed,Never Married,Yes
193,Kenya,2018,Yes,Urban,Yes,3,36,Male,Head of Household,Married,Vocational/Specialised training,Formally employed Private,Living together,Yes
194,Kenya,2018,No,Rural,No,9,18,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
195,Kenya,2018,No,Rural,No,5,18,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
196,Kenya,2018,Yes,Urban,Yes,7,33,Female,Head of Household,Married,Primary education,Self employed,Living together,Yes
197,Kenya,2018,No,Urban,Yes,4,25,Female,Spouse,Married,Primary education,Remittance Dependent,Living together,No
198,Kenya,2018,Yes,Urban,Yes,2,30,Female,Head of Household,Single,Vocational/Specialised training,Formally employed Government,Never Married,Yes
199,Kenya,2018,Yes,Urban,Yes,5,48,Female,Spouse,Married,Secondary education,Farming and Fishing,Living together,No
200,Kenya,2018,Yes,Rural,Yes,2,80,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
201,Kenya,2018,No,Urban,Yes,6,42,Male,Head of Household,Single,Primary education,Farming and Fishing,Never Married,Yes
202,Kenya,2018,No,Rural,Yes,5,69,Female,Head of Household,Married,No formal education,Self employed,Living together,Yes
203,Kenya,2018,No,Urban,Yes,3,23,Female,Spouse,Married,Secondary education,Self employed,Living together,No
204,Kenya,2018,No,Rural,Yes,2,67,Female,Head of Household,Widowed,Primary education,Informally employed,Widowed,Yes
205,Kenya,2018,No,Rural,Yes,2,58,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
206,Kenya,2018,No,Rural,Yes,6,27,Male,Child,Single,Secondary education,Farming and Fishing,Never Married,No
207,Kenya,2018,Yes,Rural,Yes,1,42,Male,Head of Household,Single,Primary education,Farming and Fishing,Never Married,Yes
208,Kenya,2018,No,Rural,No,5,80,Female,Head of Household,Widowed,No formal education,Government Dependent,Widowed,Yes
209,Kenya,2018,No,Rural,No,3,95,Female,Parent,Widowed,No formal education,Informally employed,Widowed,No
210,Kenya,2018,No,Rural,Yes,4,26,Female,Other relative,Single,Secondary education,Informally employed,Never Married,No
211,Kenya,2018,No,Urban,Yes,3,38,Female,Spouse,Married,Vocational/Specialised training,Remittance Dependent,Living together,No
212,Kenya,2018,No,Urban,Yes,1,64,Male,Head of Household,Married,Secondary education,Informally employed,Living together,Yes
213,Kenya,2018,No,Urban,Yes,6,16,Male,Other relative,Single,Secondary education,Remittance Dependent,Never Married,No
214,Kenya,2018,No,Urban,No,4,49,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
215,Kenya,2018,No,Rural,No,5,33,Female,Head of Household,Widowed,No formal education,Self employed,Widowed,Yes
216,Kenya,2018,No,Urban,Yes,4,35,Female,Head of Household,Divorced,Secondary education,Self employed,Seperated,Yes
217,Kenya,2018,Yes,Urban,Yes,1,28,Male,Head of Household,Married,Tertiary education,Formally employed Private,Living together,Yes
218,Kenya,2018,No,Urban,Yes,4,38,Male,Head of Household,Married,Secondary education,Formally employed Private,Living together,Yes
219,Kenya,2018,No,Rural,Yes,3,29,Male,Head of Household,Married,No formal education,Self employed,Living together,Yes
220,Kenya,2018,No,Rural,Yes,5,26,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
221,Kenya,2018,No,Rural,No,1,17,Male,Head of Household,Single,Secondary education,Remittance Dependent,Never Married,Yes
222,Kenya,2018,No,Rural,Yes,4,36,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
223,Kenya,2018,Yes,Urban,Yes,3,28,Female,Spouse,Married,Secondary education,Self employed,Living together,No
224,Kenya,2018,No,Urban,No,5,22,Female,Parent,Single,Secondary education,Dont Know/Refuse to answer,Never Married,No
225,Kenya,2018,No,Urban,Yes,1,65,Female,Head of Household,Single,Primary education,Remittance Dependent,Never Married,Yes
226,Kenya,2018,No,Urban,No,1,54,Male,Head of Household,Single,Primary education,Farming and Fishing,Never Married,Yes
227,Kenya,2018,Yes,Rural,Yes,4,66,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
228,Kenya,2018,No,Urban,Yes,3,54,Female,Spouse,Married,Primary education,Informally employed,Living together,No
229,Kenya,2018,No,Rural,No,3,70,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
230,Kenya,2018,No,Rural,Yes,5,44,Male,Head of Household,Married,Secondary education,Informally employed,Living together,Yes
231,Kenya,2018,No,Urban,Yes,7,22,Male,Child,Single,Secondary education,Informally employed,Never Married,No
232,Kenya,2018,Yes,Rural,Yes,3,53,Male,Head of Household,Married,Tertiary education,Farming and Fishing,Living together,Yes
233,Kenya,2018,No,Rural,Yes,7,28,Male,Child,Married,Primary education,Informally employed,Living together,No
234,Kenya,2018,No,Rural,Yes,8,42,Female,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
235,Kenya,2018,No,Rural,Yes,5,24,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
236,Kenya,2018,Yes,Urban,Yes,3,40,Male,Head of Household,Married,Vocational/Specialised training,Formally employed Private,Living together,Yes
237,Kenya,2018,No,Rural,Yes,4,33,Male,Head of Household,Married,Secondary education,Self employed,Living together,Yes
238,Kenya,2018,No,Rural,Yes,2,60,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
239,Kenya,2018,No,Rural,Yes,2,40,Female,Other relative,Divorced,Primary education,Formally employed Private,Seperated,No
240,Kenya,2018,No,Rural,No,3,17,Female,Other relative,Single,Secondary education,Remittance Dependent,Never Married,No
241,Kenya,2018,No,Rural,Yes,7,30,Female,Head of Household,Divorced,Primary education,Self employed,Seperated,Yes
242,Kenya,2018,No,Urban,No,2,16,Male,Other relative,Single,Secondary education,Remittance Dependent,Never Married,No
243,Kenya,2018,No,Rural,No,4,19,Male,Child,Single,No formal education,Farming and Fishing,Never Married,No
